Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
1.0,-3.953318744404274e+35,-2.3712768035414427e+32,-2.5548458762902047e+33,-2.4725814039473787e+33,-1.8750491938342265e+32,-1.6236198050566835e+35,-2.6632307702037606e+34,-1.9422919596577728e+33,-1.5037049386372386e+33,-5.932242194264035e+35
1.1,-3.951616146921973e+35,-2.32192642087684e+32,-2.52221615242215e+33,-2.4576939568512743e+33,-1.870804406046086e+32,-1.6236395425764248e+35,-2.662943937763625e+34,-1.9422553875332895e+33,-1.5036953980674757e+33,-5.930001423050425e+35
1.2,-3.9504235132197266e+35,-2.27853621987774e+32,-2.4926792126270046e+33,-2.4429233021428284e+33,-1.8665929940637088e+32,-1.6236669663583497e+35,-2.6626570906245175e+34,-1.9422176013162363e+33,-1.5036854791588163e+33,-5.9283163738069185e+35
1.3,-3.949755049260168e+35,-2.2306584244457284e+32,-2.465498859773061e+33,-2.4281412111141088e+33,-1.8624573445673923e+32,-1.6237015677947665e+35,-2.6623741010427533e+34,-1.942179088419819e+33,-1.5036753117450087e+33,-5.927182087638743e+35
1.4000000000000001,-3.94927351084998e+35,-2.1746949358649428e+32,-2.4396932803757425e+33,-2.4133024273842147e+33,-1.8584387023391078e+32,-1.6237436042545654e+35,-2.6620984056308996e+34,-1.9421403028202077e+33,-1.5036650162826017e+33,-5.9262480995744674e+35
1.5,-3.948583157239711e+35,-2.1213733708836497e+32,-2.4143513747331528e+33,-2.3984652719477418e+33,-1.8545649526166885e+32,-1.6237931047330112e+35,-2.6618325623596537e+34,-1.9421016044526644e+33,-1.5036546879337956e+33,-5.925121185922862e+35
1.6,-3.947610884976991e+35,-2.080926264877338e+32,-2.3889069784067514e+33,-2.3837721552779436e+33,-1.850856652986414e+32,-1.6238491447451467e+35,-2.661578417045241e+34,-1.9420633126879402e+33,-1.503644414749321e+33,-5.923733522955745e+35
1.7,-3.9463869281330586e+35,-2.0506146809414412e+32,-2.363373135458938e+33,-2.369414561265114e+33,-1.847324606724427e+32,-1.6239107062435302e+35,-2.6613377053210872e+34,-1.9420257776341076e+33,-1.503634297709269e+33,-5.922113821917038e+35
1.8,-3.944997094076268e+35,-2.0245600825523105e+32,-2.338305796856867e+33,-2.3555707143685214e+33,-1.8439674555606453e+32,-1.6239776099881107e+35,-2.66111194113693e+34,-1.94198933480138e+33,-1.5036244362090286e+33,-5.920349328538543e+35
1.9000000000000001,-3.9436547884919365e+35,-1.9979473067773314e+32,-2.3144127726006035e+33,-2.342371811073723e+33,-1.8407703401135972e+32,-1.6240495466833054e+35,-2.6609021279219894e+34,-1.9419542592544e+33,-1.5036149136461206e+33,-5.91865680318008e+35
